"","geocode","date","time","suspects","refuses","confirmado","deads","local","cases","comments","broadcast","deaths","uadm"
"93",31,"2020-02-11","16:00",1,1,0,0,"0",0,"0","0",0,"Minas Gerais"
"94",33,"2020-02-11","16:00",2,3,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"95",35,"2020-02-11","16:00",3,14,0,0,"0",0,"0","0",0,"São Paulo"
"96",41,"2020-02-11","16:00",1,2,0,0,"0",0,"0","0",0,"Paraná"
"97",42,"2020-02-11","16:00",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"98",43,"2020-02-11","16:00",1,8,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"99",23,"2020-02-12","16:00",0,1,0,0,"0",0,"0","0",0,"Ceará"
"100",31,"2020-02-12","16:00",1,1,0,0,"0",0,"0","0",0,"Minas Gerais"
"101",33,"2020-02-12","16:00",2,3,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"102",35,"2020-02-12","16:00",6,14,0,0,"0",0,"0","0",0,"São Paulo"
"103",41,"2020-02-12","16:00",1,2,0,0,"0",0,"0","0",0,"Paraná"
"104",42,"2020-02-12","16:00",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"105",43,"2020-02-12","16:00",1,8,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"106",23,"2020-02-13","16:00",0,1,0,0,"0",0,"0","0",0,"Ceará"
"107",31,"2020-02-13","16:00",0,2,0,0,"0",0,"0","0",0,"Minas Gerais"
"108",33,"2020-02-13","16:00",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"109",35,"2020-02-13","16:00",3,17,0,0,"0",0,"0","0",0,"São Paulo"
"110",41,"2020-02-13","16:00",1,2,0,0,"0",0,"0","0",0,"Paraná"
"111",42,"2020-02-13","16:00",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"112",43,"2020-02-13","16:00",2,8,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"113",53,"2020-02-13","16:00",0,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"114",23,"2020-02-14","16:00",0,1,0,0,"0",0,"0","0",0,"Ceará"
"115",31,"2020-02-14","16:00",0,2,0,0,"0",0,"0","0",0,"Minas Gerais"
"116",33,"2020-02-14","16:00",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"117",35,"2020-02-14","16:00",1,20,0,0,"0",0,"0","0",0,"São Paulo"
"118",41,"2020-02-14","16:00",1,2,0,0,"0",0,"0","0",0,"Paraná"
"119",42,"2020-02-14","16:00",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"120",43,"2020-02-14","16:00",2,8,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"121",53,"2020-02-14","16:00",0,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"122",23,"2020-02-15","14:00",0,1,0,0,"0",0,"0","0",0,"Ceará"
"123",31,"2020-02-15","14:00",0,2,0,0,"0",0,"0","0",0,"Minas Gerais"
"124",33,"2020-02-15","14:00",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"125",35,"2020-02-15","14:00",2,20,0,0,"0",0,"0","0",0,"São Paulo"
"126",41,"2020-02-15","14:00",0,3,0,0,"0",0,"0","0",0,"Paraná"
