"geocode","date","time","suspects","refuses","confirmado","deads","local","cases","comments","broadcast","deaths","uadm","uf"
33,2020-02-13,"16:00",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-13,"16:00",3,17,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-13,"16:00",1,2,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-13,"16:00",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-13,"16:00",2,8,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
53,2020-02-13,"16:00",0,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-14,"16:00",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-14,"16:00",0,2,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-14,"16:00",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-14,"16:00",1,20,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-14,"16:00",1,2,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-14,"16:00",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-14,"16:00",2,8,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
53,2020-02-14,"16:00",0,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-15,"14:00",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-15,"14:00",0,2,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-15,"14:00",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-15,"14:00",2,20,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-15,"14:00",0,3,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-15,"14:00",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-15,"14:00",1,9,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
53,2020-02-15,"14:00",0,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-02-16,"12:00",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-16,"12:00",0,2,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-16,"12:00",0,5,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-16,"12:00",2,20,0,0,"0",0,"0","0",0,"São Paulo","SP"
